,Habitaciones,Baños,Estrato,Estado,Antigüedad,Piso N°,Administración,Precio m²,Tipo de apartamento,Parqueaderos,Precio,Área construída (m²),Área privada (m²)
0,3.0,2.0,3.0,Bueno,1 a 8 años,2.0,$ 79.000 COP,"$ 2.549.019,61*m²",,, 130000000,51 ,0 
1,2.0,1.0,2.0,Bueno,9 a 15 años,1.0,No definida,"$ 2.545.454,55*m²",,, 112000000,44 ,44 
2,3.0,1.0,3.0,Remodelado,1 a 8 años,6.0,$ 50 COP,"$ 2.142.857,14*m²",,, 150000000,70 ,64 
3,,,,,,,,,,, 152152000,,
4,3.0,1.0,3.0,Remodelado,9 a 15 años,6.0,No definida,"$ 1.785.714,29*m²",Loft,, 100000000,56 ,56 
5,3.0,1.0,2.0,Bueno,16 a 30 años,3.0,No definida,$ 1.975.000*m²,,, 79000000,40 ,40 
6,,,,,,,,,,, 130625000,,
7,3.0,2.0,3.0,Excelente,1 a 8 años,3.0,No definida,"$ 2.413.793,1*m²",,, 140000000,58 ,0 
8,2.0,1.0,3.0,,16 a 30 años,,$ 50.000 COP,"$ 1.923.076,92*m²",Loft,, 75000000,39 ,39 
9,3.0,2.0,3.0,,1 a 8 años,,$ 75.000 COP,"$ 2.181.818,18*m²",,, 120000000,55 ,0 
10,3.0,1.0,3.0,Excelente,1 a 8 años,4.0,$ 82.500 COP,$ 2.500.000*m²,,, 125000000,50 ,50 
11,3.0,2.0,3.0,Excelente,1 a 8 años,3.0,$ 57.300 COP,"$ 2.840.909,09*m²",,, 125000000,44 ,0 
12,3.0,1.0,3.0,Excelente,,2.0,No definida,"$ 2.363.636,36*m²",,, 130000000,55 ,52 
13,3.0,1.0,3.0,Excelente,1 a 8 años,1.0,$ 59.700 COP,"$ 2.309.523,81*m²",,1, 97000000,42 ,40 
14,3.0,2.0,3.0,Excelente,1 a 8 años,5.0,$ 57.000 COP,"$ 2.011.613,44*m²",,, 97000000,"48,22 ",44 
15,3.0,1.0,3.0,Excelente,,2.0,No definida,"$ 2.363.636,36*m²",,, 130000000,55 ,52 
16,3.0,2.0,3.0,Excelente,9 a 15 años,2.0,No definida,"$ 2.234.042,55*m²",,, 105000000,47 ,47 
17,3.0,2.0,3.0,,9 a 15 años,,$ 48.000 COP,"$ 2.285.714,29*m²",,, 112000000,49 ,49 
18,3.0,2.0,2.0,,1 a 8 años,,$ 54.000 COP,"$ 2.708.333,33*m²",,1, 130000000,48 ,48 
19,3.0,1.0,2.0,Bueno,16 a 30 años,3.0,No definida,$ 1.975.000*m²,,, 79000000,40 ,40 
20,3.0,1.0,3.0,Excelente,1 a 8 años,1.0,$ 85.000 COP,"$ 2.253.521,13*m²",,1, 160000000,71 ,65 
21,2.0,1.0,3.0,Bueno,9 a 15 años,2.0,No definida,"$ 1.860.465,12*m²",,, 80000000,43 ,0 
22,3.0,1.0,3.0,Excelente,1 a 8 años,3.0,$ 100.000 COP,"$ 2.275.862,07*m²",,, 132000000,58 ,49 
23,3.0,2.0,3.0,Excelente,9 a 15 años,5.0,$ 70.000 COP,$ 2.300.000*m²,,, 115000000,50 ,0 
24,3.0,2.0,3.0,Excelente,1 a 8 años,2.0,$ 92.000 COP,"$ 3.382.352,94*m²",,1, 230000000,68 ,64 
25,2.0,1.0,3.0,Excelente,9 a 15 años,6.0,$ 50.000 COP,$ 2.750.000*m²,,Más de 10, 110000000,40 ,0 
26,3.0,2.0,3.0,Bueno,1 a 8 años,3.0,$ 70.000 COP,"$ 2.555.555,56*m²",,, 115000000,45 ,45 
27,3.0,1.0,3.0,Remodelado,1 a 8 años,6.0,$ 50 COP,"$ 2.142.857,14*m²",,, 150000000,70 ,64 
28,3.0,2.0,3.0,,1 a 8 años,,No definida,$ 2.187.500*m²,Loft,, 105000000,48 ,48 
29,3.0,1.0,3.0,Excelente,1 a 8 años,3.0,$ 54.500 COP,"$ 2.111.111,11*m²",,, 95000000,45 ,45 
30,,,,,,,,,,, 158000000,,
31,3.0,1.0,3.0,Bueno,1 a 8 años,,$ 80.000 COP,"$ 2.391.304,33*m²",,, 109999999,46 ,41 
32,3.0,2.0,3.0,Excelente,9 a 15 años,5.0,$ 70.000 COP,$ 2.300.000*m²,,, 115000000,50 ,0 
33,3.0,2.0,3.0,,1 a 8 años,,$ 95.000 COP,"$ 2.450.980,39*m²",Loft,, 125000000,51 ,0 
34,3.0,1.0,2.0,Bueno,16 a 30 años,3.0,No definida,$ 1.975.000*m²,,, 79000000,40 ,40 
35,,,,,,,,,,, 152152000,,
36,2.0,1.0,3.0,Bueno,9 a 15 años,1.0,No definida,"$ 2.565.789,47*m²",,, 97500000,38 ,38 
37,3.0,1.0,3.0,Remodelado,1 a 8 años,6.0,$ 50 COP,"$ 2.142.857,14*m²",,, 150000000,70 ,64 
38,,,,,,,,,,, 130625000,,
39,3.0,2.0,3.0,,1 a 8 años,,$ 75.000 COP,"$ 2.181.818,18*m²",,, 120000000,55 ,0 
40,3.0,1.0,2.0,Bueno,16 a 30 años,3.0,No definida,$ 1.975.000*m²,,, 79000000,40 ,40 
41,3.0,2.0,3.0,Excelente,1 a 8 años,3.0,$ 57.300 COP,"$ 2.840.909,09*m²",,, 125000000,44 ,0 
42,3.0,1.0,3.0,Excelente,1 a 8 años,1.0,$ 59.700 COP,"$ 2.309.523,81*m²",,1, 97000000,42 ,40 
43,3.0,2.0,3.0,,1 a 8 años,,No definida,$ 2.187.500*m²,Loft,, 105000000,48 ,48 
44,3.0,1.0,3.0,Bueno,1 a 8 años,,$ 80.000 COP,"$ 2.391.304,33*m²",,, 109999999,46 ,41 
45,3.0,1.0,3.0,Excelente,1 a 8 años,4.0,$ 82.500 COP,$ 2.500.000*m²,,, 125000000,50 ,50 
46,2.0,1.0,3.0,Bueno,9 a 15 años,2.0,No definida,"$ 1.860.465,12*m²",,, 80000000,43 ,0 
47,3.0,1.0,3.0,Excelente,,2.0,No definida,"$ 2.363.636,36*m²",,, 130000000,55 ,52 
48,2.0,1.0,3.0,,16 a 30 años,,$ 50.000 COP,"$ 1.923.076,92*m²",Loft,, 75000000,39 ,39 
49,3.0,2.0,3.0,Excelente,1 a 8 años,5.0,$ 57.000 COP,"$ 2.011.613,44*m²",,, 97000000,"48,22 ",44 
50,3.0,1.0,3.0,Excelente,1 a 8 años,1.0,$ 85.000 COP,"$ 2.253.521,13*m²",,1, 160000000,71 ,65 
